Loan Id,Collateral Id,Loan Type
10001,10001,Home
10002,10002,Home
10003,10003,Home
10004,10004,Home
10005,10005,Home
10006,10006,Home
10007,10007,Home
10008,10008,Home
10009,10009,Home
10010,10010,Home
10011,10011,Home
10012,10012,Home
10013,10013,Home
10014,10014,Home
10015,10015,Home
10016,10016,Home
10017,10017,Home
10018,10018,Vehicle
10019,10019,Vehicle
10020,10020,Vehicle
10021,10021,Vehicle
10022,10022,Vehicle
10023,10023,Vehicle
10024,10024,Vehicle
10025,10025,Vehicle
10026,10026,Vehicle
10027,10027,Vehicle
10028,10028,Vehicle
10029,10029,Vehicle
10030,10030,Vehicle
10031,10031,Vehicle
10032,10032,Vehicle
10033,10033,Vehicle
10034,10034,Vehicle
10035,10035,Vehicle
10036,10036,Vehicle
10037,10037,Vehicle
10038,10038,Vehicle
10039,10039,Mortage
10040,10040,Mortage
10041,10041,Mortage
10042,10042,Mortage
10043,10043,Mortage
10044,10044,Mortage
10045,10045,Mortage
10046,10046,Mortage
10047,10047,Mortage
10048,10048,Mortage
10049,10049,Mortage
10050,10050,Mortage
